模拟测试资料，仅用于智能体测试，不具任何法律效力
类型,名称,产品/采购内容,2025金额万元,占比,结算方式/账期,是否关联方
客户,华东汽车电子有限公司（模拟）,汽车电子控制模块,2960,17.31%,月结60天/电汇,否
客户,苏州智成自动化有限公司（模拟）,工业控制板卡,2310,13.51%,月结45天/电汇,否
客户,无锡联创智能装备有限公司（模拟）,边缘网关,1780,10.41%,月结60天/电汇+银承,否
客户,常州新能源控制有限公司（模拟）,电源管理板,1460,8.54%,月结45天/电汇,否
客户,上海通云工业有限公司（模拟）,工业物联网模块,1220,7.13%,月结90天/电汇,否
供应商,深圳芯汇半导体有限公司（模拟）,MCU及通信芯片,3150,21.11%,预付20%+月结30天,否
供应商,苏州嘉锐电路有限公司（模拟）,PCB/PCBA加工,2380,15.95%,月结45天,否
供应商,上海联芯电子元件有限公司（模拟）,连接器及被动器件,1940,13.00%,月结30天,否
供应商,无锡中科功率器件有限公司（模拟）,MOSFET及功率模块,1470,9.85%,月结30天,否
供应商,昆山裕通包装有限公司（模拟）,包装材料,680,4.56%,月结60天,否
